Date,Australasia & Oceania,Central America & Caribbean,Central Asia,East Asia,Eastern Europe,Middle East & North Africa,North America,South America,South Asia,Southeast Asia,Sub-Saharan Africa,Western Europe,Sum
1996-09-30,1,5,2,2,12,22,13,99,74,8,16,35,289
1996-10-31,7,11,0,4,28,27,8,79,40,46,20,35,305
1996-11-30,1,8,3,5,24,30,8,31,27,21,10,39,207
1996-12-31,1,9,6,3,8,38,9,36,40,10,34,56,250
1997-01-31,0,8,9,0,19,40,17,37,35,9,18,47,239
1997-02-28,2,8,8,11,13,24,12,30,47,13,16,84,268
1997-03-31,1,9,1,8,20,31,13,59,37,42,13,20,254
1997-04-30,0,15,1,5,11,41,9,35,35,15,15,51,233
1997-05-31,0,3,1,2,11,26,8,54,22,23,17,22,189
1997-06-30,2,13,2,1,33,39,6,62,107,12,11,20,308
1997-07-31,0,20,1,7,43,55,18,84,56,10,19,24,337
1997-08-31,1,9,5,0,25,91,4,108,51,10,33,10,347
1997-09-30,1,6,9,1,25,48,4,102,14,6,26,15,257
1997-10-31,0,9,6,2,15,57,7,75,34,9,57,8,279
1997-11-30,0,12,3,1,9,39,22,63,32,3,18,17,219
1997-12-31,0,5,3,2,24,57,17,65,20,7,36,31,267
1998-01-31,0,0,0,0,9,32,2,2,11,3,5,18,82
1998-02-28,0,0,2,2,2,25,1,6,30,3,9,15,95
1998-03-31,0,0,1,0,2,14,2,10,12,6,1,16,64
1998-04-30,0,0,2,0,6,11,3,14,9,1,11,8,65
1998-05-31,0,0,0,6,10,17,1,6,4,0,1,10,55
1998-06-30,0,0,0,0,2,17,6,0,7,1,2,5,40
1998-07-31,0,0,7,0,25,18,5,2,9,3,9,27,105
1998-08-31,0,0,3,0,14,21,3,42,14,3,13,12,125
1998-09-30,1,1,1,1,5,28,4,7,8,2,6,1,65
1998-10-31,0,0,5,0,12,37,8,10,18,3,10,12,115
1998-11-30,1,0,4,0,13,19,1,7,11,6,18,10,90
1998-12-31,4,0,0,0,5,9,1,2,3,1,2,7,34
1999-01-31,0,1,0,0,5,7,0,3,10,7,13,16,62
1999-02-28,0,0,6,0,8,6,0,6,4,2,17,12,61
1999-03-31,0,1,2,0,14,63,10,20,20,8,7,39,184
1999-04-30,0,1,2,2,9,11,3,11,13,5,12,20,89
1999-05-31,0,0,0,0,7,26,2,6,15,14,10,15,95
1999-06-30,1,0,1,1,32,46,4,21,13,12,18,32,181
1999-07-31,0,0,2,0,10,43,10,16,29,12,19,19,160
1999-08-31,3,0,1,0,8,33,6,10,32,5,8,8,114
1999-09-30,0,2,3,0,6,14,2,8,15,16,3,10,79
1999-10-31,0,2,4,0,16,33,14,10,27,14,10,34,164
1999-11-30,0,1,3,1,12,23,1,9,29,9,25,27,140
1999-12-31,0,0,0,1,11,10,4,15,18,3,1,4,67
2000-01-31,0,0,2,0,15,25,7,16,51,7,38,23,184
2000-02-29,0,1,1,1,12,18,2,21,25,12,10,8,111
2000-03-31,0,1,1,0,9,22,3,13,21,8,7,11,96
2000-04-30,0,2,1,0,3,17,3,11,31,9,3,17,97
2000-05-31,0,2,3,0,20,15,4,5,25,37,15,8,134
2000-06-30,1,0,1,10,37,20,1,3,29,18,16,31,167
2000-07-31,1,1,1,1,21,24,4,8,31,22,17,25,156
2000-08-31,0,0,4,2,23,11,1,7,26,8,13,26,121
2000-09-30,2,0,2,1,36,20,3,32,40,37,25,39,237
2000-10-31,1,1,3,1,27,29,1,15,22,22,15,28,165
2000-11-30,1,5,1,2,19,43,4,11,28,22,19,27,182
2000-12-31,0,1,1,0,12,29,8,9,28,54,13,10,165
2001-01-31,0,4,0,2,25,34,5,23,24,8,12,31,168
2001-02-28,0,2,1,2,16,19,2,11,33,11,12,21,130
2001-03-31,0,1,1,0,25,37,2,11,26,16,17,29,165
2001-04-30,0,0,2,1,15,22,3,6,33,13,13,9,117
2001-05-31,0,0,0,0,13,28,3,9,19,7,10,9,98
2001-06-30,0,0,2,0,6,10,4,5,15,12,16,10,80
2001-07-31,0,1,3,1,8,18,2,10,13,6,8,15,85
2001-08-31,0,0,6,1,99,86,4,84,115,65,33,67,560
2001-09-30,2,0,3,1,16,31,7,14,28,6,15,17,140
2001-10-31,1,0,0,2,1,20,13,16,20,7,5,11,96
2001-11-30,1,0,0,0,18,23,3,23,35,20,7,10,140
2001-12-31,0,0,0,9,10,33,0,16,24,14,14,5,125
2002-01-31,0,0,0,0,24,31,2,24,31,13,7,15,147
2002-02-28,0,0,0,1,15,50,0,22,25,6,8,16,143
2002-03-31,0,0,1,0,2,37,1,7,13,1,10,6,78
2002-04-30,0,0,0,0,3,26,0,21,25,11,12,11,109
2002-05-31,0,3,1,1,11,36,20,27,39,7,19,20,184
2002-06-30,0,0,2,0,8,31,2,11,14,14,14,10,106
2002-07-31,1,0,0,0,11,24,2,9,25,12,4,5,93
2002-08-31,1,0,0,1,22,27,2,12,36,13,17,8,139
2002-09-30,0,0,1,0,1,13,2,6,35,7,6,17,88
2002-10-31,0,0,0,1,4,18,1,4,21,19,9,2,79
2002-11-30,0,0,1,0,8,25,1,12,43,3,11,3,107
2002-12-31,0,0,0,0,3,8,0,6,27,4,4,7,59
2003-01-31,0,3,2,2,23,28,3,33,64,21,10,12,201
2003-02-28,3,0,0,2,9,19,0,6,30,24,4,11,108
2003-03-31,1,0,0,1,14,30,11,29,61,35,2,12,196
2003-04-30,0,0,0,0,4,13,1,8,21,22,10,4,83
2003-05-31,0,0,1,0,14,39,2,12,40,22,9,17,156
2003-06-30,0,0,0,0,6,15,3,1,21,2,5,8,61
2003-07-31,0,1,0,0,11,22,0,4,33,10,17,19,117
2003-08-31,0,0,0,0,1,13,4,6,5,2,1,4,36
2003-09-30,0,0,0,0,4,30,6,2,26,1,4,1,74
